,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Expiration,Spot Price
122,SPXW230714C04475000,2023-07-10 1:45PM EDT,4475.0,4.01,3.9,4.1,-0.31,-7.18%,1437,6764,11.91%,0.015873015873015872,4398.950195
123,SPXW230714C04480000,2023-07-10 1:36PM EDT,4480.0,3.16,3.2,3.4,-0.44,-12.22%,411,1279,11.83%,0.015873015873015872,4398.950195
124,SPXW230714C04485000,2023-07-10 1:10PM EDT,4485.0,2.75,2.75,2.85,-0.37,-11.86%,406,1103,11.80%,0.015873015873015872,4398.950195
125,SPXW230714C04490000,2023-07-10 1:36PM EDT,4490.0,2.3,2.3,2.4,-0.35,-13.21%,668,1574,11.80%,0.015873015873015872,4398.950195
126,SPXW230714C04495000,2023-07-10 1:40PM EDT,4495.0,1.94,1.95,2.05,-0.11,-5.37%,195,1541,11.86%,0.015873015873015872,4398.950195
127,SPXW230714C04500000,2023-07-10 1:44PM EDT,4500.0,1.7,1.65,1.75,-0.05,-2.86%,2627,8962,11.92%,0.015873015873015872,4398.950195
128,SPXW230714C04505000,2023-07-10 1:39PM EDT,4505.0,1.4,1.4,1.5,-0.04,-2.78%,398,837,11.99%,0.015873015873015872,4398.950195
129,SPXW230714C04510000,2023-07-10 1:36PM EDT,4510.0,1.17,1.15,1.25,-0.05,-4.10%,355,1882,12.01%,0.015873015873015872,4398.950195
130,SPXW230714C04515000,2023-07-10 1:44PM EDT,4515.0,1.05,1.0,1.1,0.1,+10.53%,197,1939,12.15%,0.015873015873015872,4398.950195
131,SPXW230714C04520000,2023-07-10 1:43PM EDT,4520.0,0.92,0.85,0.95,0.07,+8.24%,780,1467,12.26%,0.015873015873015872,4398.950195
132,SPXW230714C04525000,2023-07-10 1:40PM EDT,4525.0,0.75,0.75,0.8,0.07,+10.29%,384,4357,12.31%,0.015873015873015872,4398.950195
133,SPXW230714C04530000,2023-07-10 12:47PM EDT,4530.0,0.65,0.65,0.75,0.2,+44.44%,347,1730,12.58%,0.015873015873015872,4398.950195
134,SPXW230714C04535000,2023-07-10 1:01PM EDT,4535.0,0.57,0.55,0.6,0.13,+29.55%,194,634,12.53%,0.015873015873015872,4398.950195
135,SPXW230714C04540000,2023-07-10 12:49PM EDT,4540.0,0.47,0.45,0.55,0.07,+17.50%,566,3138,12.75%,0.015873015873015872,4398.950195
136,SPXW230714C04545000,2023-07-10 12:50PM EDT,4545.0,0.4,0.4,0.5,0.1,+33.33%,27,176,12.95%,0.015873015873015872,4398.950195
137,SPXW230714C04550000,2023-07-10 1:36PM EDT,4550.0,0.35,0.35,0.45,0.05,+16.67%,424,2766,13.13%,0.015873015873015872,4398.950195
138,SPXW230714C04555000,2023-07-10 10:39AM EDT,4555.0,0.32,0.3,0.4,0.12,+60.00%,130,92,13.28%,0.015873015873015872,4398.950195
139,SPXW230714C04560000,2023-07-10 12:09PM EDT,4560.0,0.25,0.25,0.35,0.03,+13.64%,413,1355,13.40%,0.015873015873015872,4398.950195
140,SPXW230714C04565000,2023-07-10 12:50PM EDT,4565.0,0.25,0.25,0.35,0.1,+66.67%,2,96,13.77%,0.015873015873015872,4398.950195
141,SPXW230714C04570000,2023-07-10 12:45PM EDT,4570.0,0.22,0.2,0.3,0.05,+29.41%,38,615,13.84%,0.015873015873015872,4398.950195
142,SPXW230714C04575000,2023-07-10 1:11PM EDT,4575.0,0.22,0.2,0.25,0.02,+10.00%,55,1147,13.87%,0.015873015873015872,4398.950195
143,SPXW230714C04580000,2023-07-10 12:16PM EDT,4580.0,0.17,0.15,0.25,0.02,+13.33%,79,355,14.21%,0.015873015873015872,4398.950195
144,SPXW230714C04590000,2023-07-10 12:45PM EDT,4590.0,0.15,0.15,0.2,0.05,+50.00%,35,1344,14.50%,0.015873015873015872,4398.950195
145,SPXW230714C04600000,2023-07-10 1:11PM EDT,4600.0,0.15,0.1,0.2,0.05,+50.00%,531,2229,15.19%,0.015873015873015872,4398.950195
146,SPXW230714C04610000,2023-07-10 10:25AM EDT,4610.0,0.12,0.1,0.2,0.02,+20.00%,9,752,15.85%,0.015873015873015872,4398.950195
147,SPXW230714C04620000,2023-07-10 9:47AM EDT,4620.0,0.1,0.1,0.15,0.0,-,112,731,15.99%,0.015873015873015872,4398.950195
148,SPXW230714C04625000,2023-07-10 12:02PM EDT,4625.0,0.1,0.1,0.15,-0.05,-33.33%,76,419,16.31%,0.015873015873015872,4398.950195
149,SPXW230714C04630000,2023-07-10 12:38PM EDT,4630.0,0.1,0.05,0.15,0.03,+42.86%,60,1538,16.63%,0.015873015873015872,4398.950195
150,SPXW230714C04640000,2023-07-07 2:50PM EDT,4640.0,0.07,0.05,0.15,-0.03,-30.00%,1,504,17.26%,0.015873015873015872,4398.950195
151,SPXW230714C04650000,2023-07-07 4:05PM EDT,4650.0,0.07,0.05,0.1,0.0,-,1152,1970,17.14%,0.015873015873015872,4398.950195
152,SPXW230714C04660000,2023-07-10 12:01PM EDT,4660.0,0.1,0.05,0.1,0.0,-,104,205,17.77%,0.015873015873015872,4398.950195
153,SPXW230714C04670000,2023-07-07 12:37PM EDT,4670.0,0.07,0.05,0.0,-0.08,-53.33%,15,37,12.50%,0.015873015873015872,4398.950195
154,SPXW230714C04675000,2023-07-10 9:52AM EDT,4675.0,0.07,0.05,0.1,0.02,+40.00%,15,1765,18.65%,0.015873015873015872,4398.950195
155,SPXW230714C04680000,2023-07-07 4:06PM EDT,4680.0,0.08,0.05,0.1,0.01,+14.29%,1,413,18.97%,0.015873015873015872,4398.950195
156,SPXW230714C04690000,2023-07-10 9:36AM EDT,4690.0,0.07,0.05,0.1,0.02,+40.00%,20,323,19.58%,0.015873015873015872,4398.950195
157,SPXW230714C04700000,2023-07-10 12:17PM EDT,4700.0,0.07,0.05,0.1,0.02,+40.00%,2,1238,20.17%,0.015873015873015872,4398.950195
158,SPXW230714C04710000,2023-07-10 12:21PM EDT,4710.0,0.05,0.0,0.1,0.0,-,44,50,20.75%,0.015873015873015872,4398.950195
159,SPXW230714C04720000,2023-07-10 12:25PM EDT,4720.0,0.05,0.05,0.1,0.0,-,400,1,21.34%,0.015873015873015872,4398.950195
160,SPXW230714C04725000,2023-07-10 12:24PM EDT,4725.0,0.05,0.05,0.1,0.0,-,45,141,21.63%,0.015873015873015872,4398.950195
161,SPXW230714C04750000,2023-07-10 1:31PM EDT,4750.0,0.05,0.0,0.05,0.0,-,304,625,21.68%,0.015873015873015872,4398.950195
162,SPXW230714C04775000,2023-07-07 1:12PM EDT,4775.0,0.05,0.0,0.05,0.0,-,250,250,23.05%,0.015873015873015872,4398.950195
163,SPXW230714C04800000,2023-07-07 1:03PM EDT,4800.0,0.05,0.0,0.05,0.0,-,115,817,24.41%,0.015873015873015872,4398.950195
164,SPXW230714C04850000,2023-07-07 9:47AM EDT,4850.0,0.07,0.0,0.05,0.0,-,2,2,27.05%,0.015873015873015872,4398.950195
165,SPXW230714C04900000,2023-07-06 10:21AM EDT,4900.0,0.05,0.0,0.05,0.0,-,1,69,29.69%,0.015873015873015872,4398.950195
166,SPXW230714C05000000,2023-06-28 9:55AM EDT,5000.0,0.05,0.0,0.05,0.0,-,1,7122,34.77%,0.015873015873015872,4398.950195
167,SPXW230714C05200000,2023-06-27 12:17PM EDT,5200.0,0.05,0.0,0.0,0.0,-,500,507,25.00%,0.015873015873015872,4398.950195
168,SPXW230714C05400000,2023-07-07 1:56PM EDT,5400.0,0.03,0.0,0.05,0.0,-,2000,2255,51.17%,0.015873015873015872,4398.950195
362,SPXW230818C04400000,2023-07-10 1:08PM EDT,4400.0,87.05,87.7,88.0,1.65,+1.93%,48,1661,14.64%,0.15476190476190477,4398.950195
363,SPX230818C04405000,2023-07-10 1:29PM EDT,4405.0,83.64,83.3,84.1,-20.49,-19.68%,26,222,14.39%,0.15476190476190477,4398.950195
364,SPX230818C04410000,2023-07-10 12:25PM EDT,4410.0,76.45,79.9,80.7,-12.72,-14.26%,4,584,14.23%,0.15476190476190477,4398.950195
365,SPX230818C04415000,2023-07-10 9:36AM EDT,4415.0,77.35,76.9,77.7,-10.1,-11.55%,1,931,14.12%,0.15476190476190477,4398.950195
366,SPX230818C04420000,2023-07-10 1:39PM EDT,4420.0,73.39,73.8,74.6,-1.71,-2.28%,10,1543,13.99%,0.15476190476190477,4398.950195
367,SPX230818C04425000,2023-07-10 1:29PM EDT,4425.0,71.34,70.9,71.6,-0.77,-1.07%,156,5496,13.87%,0.15476190476190477,4398.950195
368,SPXW230818C04430000,2023-07-10 12:15PM EDT,4430.0,62.7,68.7,69.0,-6.3,-9.13%,9,269,13.81%,0.15476190476190477,4398.950195
369,SPXW230818C04435000,2023-07-10 10:45AM EDT,4435.0,64.8,65.8,66.1,-1.3,-1.97%,5,208,13.68%,0.15476190476190477,4398.950195
370,SPXW230818C04440000,2023-07-07 3:56PM EDT,4440.0,66.0,63.0,63.3,4.28,+6.93%,3,309,13.57%,0.15476190476190477,4398.950195
371,SPX230818C04445000,2023-07-07 3:47PM EDT,4445.0,61.0,59.4,60.0,0.0,-,5,272,13.36%,0.15476190476190477,4398.950195
372,SPXW230818C04450000,2023-07-10 1:08PM EDT,4450.0,57.55,58.0,58.3,-4.46,-7.19%,41,488,13.42%,0.15476190476190477,4398.950195
373,SPX230818C04455000,2023-07-10 1:14PM EDT,4455.0,54.0,54.4,55.0,-0.2,-0.37%,2,140,13.18%,0.15476190476190477,4398.950195
374,SPXW230818C04460000,2023-07-10 10:55AM EDT,4460.0,46.8,52.5,52.8,-15.7,-25.12%,22,914,13.14%,0.15476190476190477,4398.950195
375,SPX230818C04465000,2023-07-10 1:21PM EDT,4465.0,48.93,49.3,49.9,-0.57,-1.15%,3,91,12.95%,0.15476190476190477,4398.950195
376,SPXW230818C04470000,2023-07-10 12:49PM EDT,4470.0,46.66,47.9,48.2,-8.74,-15.78%,50,553,12.98%,0.15476190476190477,4398.950195
377,SPX230818C04475000,2023-07-10 11:12AM EDT,4475.0,41.28,44.6,45.1,-4.62,-10.07%,3,5756,12.73%,0.15476190476190477,4398.950195
378,SPXW230818C04480000,2023-07-10 1:08PM EDT,4480.0,43.0,43.4,43.7,-0.41,-0.94%,11,283,12.79%,0.15476190476190477,4398.950195
379,SPXW230818C04485000,2023-07-10 1:31PM EDT,4485.0,42.2,41.1,41.4,-11.86,-21.94%,9,295,12.67%,0.15476190476190477,4398.950195
380,SPXW230818C04490000,2023-07-10 12:33PM EDT,4490.0,37.1,38.9,39.2,-1.3,-3.39%,39,465,12.56%,0.15476190476190477,4398.950195
381,SPXW230818C04495000,2023-07-10 12:32PM EDT,4495.0,34.5,36.8,37.1,-10.9,-24.01%,102,71,12.46%,0.15476190476190477,4398.950195
382,SPX230818C04500000,2023-07-10 1:14PM EDT,4500.0,34.1,34.0,34.5,0.9,+2.71%,447,14367,12.25%,0.15476190476190477,4398.950195
383,SPXW230818C04505000,2023-07-10 12:26PM EDT,4505.0,30.7,33.1,33.3,-1.0,-3.15%,57,165,12.30%,0.15476190476190477,4398.950195
384,SPX230818C04510000,2023-07-10 1:13PM EDT,4510.0,30.3,30.6,31.1,-12.45,-29.12%,4,458,12.14%,0.15476190476190477,4398.950195
385,SPXW230818C04515000,2023-07-10 11:46AM EDT,4515.0,27.5,29.4,29.7,-1.17,-4.08%,38,141,12.13%,0.15476190476190477,4398.950195
386,SPX230818C04520000,2023-07-10 11:38AM EDT,4520.0,26.54,27.2,27.6,-4.95,-15.72%,3,318,11.96%,0.15476190476190477,4398.950195
387,SPX230818C04525000,2023-07-10 1:12PM EDT,4525.0,25.2,25.6,26.0,-0.1,-0.40%,105,10115,11.88%,0.15476190476190477,4398.950195
388,SPX230818C04530000,2023-07-10 1:13PM EDT,4530.0,23.9,24.2,24.6,-6.45,-21.25%,532,195,11.84%,0.15476190476190477,4398.950195
389,SPXW230818C04535000,2023-07-10 1:25PM EDT,4535.0,22.82,23.3,23.5,-5.48,-19.36%,36,165,11.85%,0.15476190476190477,4398.950195
390,SPXW230818C04540000,2023-07-10 12:25PM EDT,4540.0,20.3,21.9,22.1,-10.02,-33.05%,7,287,11.78%,0.15476190476190477,4398.950195
391,SPXW230818C04545000,2023-07-10 12:33PM EDT,4545.0,19.5,20.6,20.9,-8.98,-31.53%,26,152,11.74%,0.15476190476190477,4398.950195
392,SPXW230818C04550000,2023-07-10 12:41PM EDT,4550.0,18.17,19.3,19.5,-1.43,-7.30%,59,2157,11.65%,0.15476190476190477,4398.950195
393,SPXW230818C04555000,2023-07-10 12:27PM EDT,4555.0,17.14,17.9,18.2,-5.86,-25.48%,35,263,11.57%,0.15476190476190477,4398.950195
394,SPXW230818C04560000,2023-07-10 12:41PM EDT,4560.0,16.05,17.0,17.2,-0.4,-2.43%,51,449,11.55%,0.15476190476190477,4398.950195
395,SPX230818C04565000,2023-07-10 12:11PM EDT,4565.0,13.22,15.3,15.7,-2.68,-16.86%,4,124,11.38%,0.15476190476190477,4398.950195
396,SPX230818C04570000,2023-07-10 1:20PM EDT,4570.0,14.4,14.5,14.8,-0.2,-1.37%,87,1053,11.36%,0.15476190476190477,4398.950195
397,SPX230818C04575000,2023-07-10 1:17PM EDT,4575.0,13.44,13.5,13.8,0.41,+3.15%,195,8818,11.30%,0.15476190476190477,4398.950195
398,SPXW230818C04580000,2023-07-10 12:26PM EDT,4580.0,12.38,12.9,13.1,-0.37,-2.90%,41,321,11.32%,0.15476190476190477,4398.950195
399,SPXW230818C04585000,2023-07-10 1:31PM EDT,4585.0,12.55,12.2,12.4,-2.35,-15.77%,39,144,11.32%,0.15476190476190477,4398.950195
400,SPXW230818C04590000,2023-07-10 11:50AM EDT,4590.0,10.5,11.4,11.6,-0.65,-5.83%,6,406,11.28%,0.15476190476190477,4398.950195
401,SPX230818C04595000,2023-07-07 12:49PM EDT,4595.0,16.03,10.0,10.3,0.0,-,20,246,11.07%,0.15476190476190477,4398.950195
402,SPX230818C04600000,2023-07-10 1:12PM EDT,4600.0,9.4,9.5,9.7,-0.6,-6.00%,1109,11458,11.07%,0.15476190476190477,4398.950195
403,SPX230818C04605000,2023-07-10 1:29PM EDT,4605.0,8.9,8.7,9.0,-2.8,-23.93%,5,796,11.03%,0.15476190476190477,4398.950195
404,SPX230818C04610000,2023-07-10 1:30PM EDT,4610.0,8.45,8.2,8.4,0.2,+2.42%,5,1215,11.00%,0.15476190476190477,4398.950195
405,SPX230818C04615000,2023-07-10 1:15PM EDT,4615.0,7.7,7.5,7.8,-9.25,-54.57%,7,312,10.96%,0.15476190476190477,4398.950195
406,SPX230818C04620000,2023-07-10 1:18PM EDT,4620.0,7.0,7.0,7.2,-0.2,-2.78%,19,602,10.91%,0.15476190476190477,4398.950195
407,SPX230818C04625000,2023-07-10 1:02PM EDT,4625.0,6.55,6.5,6.7,-2.35,-26.40%,49,1802,10.89%,0.15476190476190477,4398.950195
408,SPX230818C04630000,2023-07-10 1:13PM EDT,4630.0,6.1,6.1,6.3,-0.35,-5.43%,9,865,10.90%,0.15476190476190477,4398.950195
409,SPX230818C04635000,2023-07-10 1:29PM EDT,4635.0,5.8,5.7,5.9,-0.9,-13.43%,3,309,10.90%,0.15476190476190477,4398.950195
410,SPX230818C04640000,2023-07-10 10:06AM EDT,4640.0,4.78,5.2,5.4,-2.12,-30.72%,2,479,10.84%,0.15476190476190477,4398.950195
411,SPX230818C04645000,2023-07-10 1:18PM EDT,4645.0,4.9,4.8,5.0,-1.96,-28.57%,3,180,10.81%,0.15476190476190477,4398.950195
412,SPX230818C04650000,2023-07-10 1:15PM EDT,4650.0,4.6,4.4,4.6,-0.15,-3.16%,33,6548,10.78%,0.15476190476190477,4398.950195
413,SPXW230818C04655000,2023-07-07 4:00PM EDT,4655.0,4.5,4.4,4.6,0.0,-,75,82,10.94%,0.15476190476190477,4398.950195
414,SPX230818C04660000,2023-07-10 1:12PM EDT,4660.0,3.9,3.8,4.1,-2.81,-41.88%,15,938,10.83%,0.15476190476190477,4398.950195
415,SPXW230818C04665000,2023-07-07 1:08PM EDT,4665.0,7.3,3.8,3.9,0.0,-,3,65,10.88%,0.15476190476190477,4398.950195
416,SPX230818C04670000,2023-07-07 4:05PM EDT,4670.0,3.62,3.3,3.4,0.0,-,9,1353,10.73%,0.15476190476190477,4398.950195
417,SPX230818C04675000,2023-07-10 1:17PM EDT,4675.0,3.2,3.1,3.3,-0.1,-3.03%,21,4218,10.82%,0.15476190476190477,4398.950195
418,SPX230818C04680000,2023-07-10 1:12PM EDT,4680.0,2.9,2.85,3.0,-0.23,-7.35%,2,569,10.77%,0.15476190476190477,4398.950195
419,SPX230818C04685000,2023-07-07 8:34AM EDT,4685.0,4.21,2.65,2.75,0.0,-,1,262,10.74%,0.15476190476190477,4398.950195
420,SPXW230818C04690000,2023-07-07 4:06PM EDT,4690.0,2.83,2.6,2.75,0.0,-,36,242,10.89%,0.15476190476190477,4398.950195
421,SPX230818C04695000,2023-07-10 1:14PM EDT,4695.0,2.35,2.3,2.45,-0.65,-21.67%,3,1,10.80%,0.15476190476190477,4398.950195
422,SPXW230818C04700000,2023-07-10 12:25PM EDT,4700.0,2.1,2.25,2.35,-0.17,-7.49%,27,521,10.86%,0.15476190476190477,4398.950195
423,SPXW230818C04705000,2023-07-05 9:49AM EDT,4705.0,5.7,2.05,2.2,0.0,-,-,28,10.88%,0.15476190476190477,4398.950195
424,SPXW230818C04710000,2023-07-10 10:55AM EDT,4710.0,1.87,1.95,2.05,-0.08,-4.10%,1,68,10.89%,0.15476190476190477,4398.950195
425,SPX230818C04715000,2023-07-05 10:25AM EDT,4715.0,5.0,1.7,1.8,0.0,-,-,4,10.79%,0.15476190476190477,4398.950195
426,SPXW230818C04720000,2023-07-07 2:55PM EDT,4720.0,1.6,1.7,1.8,-0.9,-36.00%,1,69,10.93%,0.15476190476190477,4398.950195
427,SPXW230818C04725000,2023-07-10 12:08PM EDT,4725.0,1.4,1.55,1.65,-0.69,-33.01%,10,249,10.90%,0.15476190476190477,4398.950195
428,SPXW230818C04730000,2023-07-07 12:30PM EDT,4730.0,2.2,1.45,1.55,0.0,-,4,165,10.93%,0.15476190476190477,4398.950195
429,SPXW230818C04740000,2023-07-10 9:50AM EDT,4740.0,1.3,1.25,1.4,-0.3,-18.75%,25,93,11.02%,0.15476190476190477,4398.950195
430,SPX230818C04750000,2023-07-10 1:30PM EDT,4750.0,1.15,1.05,1.15,0.09,+8.49%,6,4860,10.95%,0.15476190476190477,4398.950195
431,SPXW230818C04760000,2023-07-07 1:41PM EDT,4760.0,1.85,0.95,1.1,0.0,-,1,62,11.14%,0.15476190476190477,4398.950195
432,SPXW230818C04770000,2023-07-06 3:47PM EDT,4770.0,1.26,0.85,0.95,0.0,-,2,8,11.16%,0.15476190476190477,4398.950195
433,SPX230818C04775000,2023-07-10 1:30PM EDT,4775.0,0.85,0.75,0.85,0.05,+6.25%,12,607,11.11%,0.15476190476190477,4398.950195
434,SPXW230818C04780000,2023-07-06 9:32AM EDT,4780.0,1.25,0.75,0.85,0.0,-,-,14,11.23%,0.15476190476190477,4398.950195
435,SPX230818C04790000,2023-07-10 1:29PM EDT,4790.0,0.7,0.65,0.75,0.01,+1.45%,3,10,11.28%,0.15476190476190477,4398.950195
436,SPX230818C04800000,2023-07-10 1:30PM EDT,4800.0,0.65,0.55,0.65,0.0,-,4,6238,11.31%,0.15476190476190477,4398.950195
437,SPX230818C04810000,2023-07-05 9:30AM EDT,4810.0,1.39,0.5,0.6,0.0,-,-,4,11.43%,0.15476190476190477,4398.950195
438,SPXW230818C04820000,2023-07-10 12:48PM EDT,4820.0,0.5,0.5,0.6,-0.92,-64.79%,3,56,11.66%,0.15476190476190477,4398.950195
439,SPXW230818C04825000,2023-07-05 4:04PM EDT,4825.0,1.05,0.45,0.55,0.0,-,1,199,11.65%,0.15476190476190477,4398.950195
440,SPXW230818C04830000,2023-07-07 3:58PM EDT,4830.0,0.45,0.45,0.55,0.0,-,1,1,11.76%,0.15476190476190477,4398.950195
441,SPXW230818C04840000,2023-06-30 10:04AM EDT,4840.0,0.42,0.4,0.5,-0.68,-61.82%,1,2,11.85%,0.15476190476190477,4398.950195
442,SPXW230818C04850000,2023-07-06 10:18AM EDT,4850.0,0.55,0.35,0.4,0.0,-,4,100,11.77%,0.15476190476190477,4398.950195
443,SPX230818C04860000,2023-07-07 1:02PM EDT,4860.0,0.55,0.3,0.4,0.0,-,71,71,11.99%,0.15476190476190477,4398.950195
444,SPX230818C04870000,2023-07-07 2:45PM EDT,4870.0,0.35,0.3,0.4,-0.05,-12.50%,2,133,12.21%,0.15476190476190477,4398.950195
445,SPX230818C04875000,2023-07-07 3:32PM EDT,4875.0,0.3,0.3,0.35,0.0,-,52,342,12.13%,0.15476190476190477,4398.950195
446,SPXW230818C04880000,2023-07-06 1:08PM EDT,4880.0,0.45,0.3,0.35,0.0,-,-,30,12.24%,0.15476190476190477,4398.950195
447,SPXW230818C04890000,2023-07-07 9:52AM EDT,4890.0,0.4,0.25,0.35,0.0,-,35,105,12.45%,0.15476190476190477,4398.950195
448,SPXW230818C04900000,2023-07-09 8:32PM EDT,4900.0,0.25,0.25,0.3,-0.09,-26.47%,2,487,12.45%,0.15476190476190477,4398.950195
449,SPX230818C04925000,2023-07-07 10:41AM EDT,4925.0,0.3,0.2,0.25,0.0,-,3,212,12.73%,0.15476190476190477,4398.950195
450,SPX230818C04950000,2023-07-10 1:13PM EDT,4950.0,0.2,0.15,0.25,-0.05,-20.00%,10,390,13.25%,0.15476190476190477,4398.950195
451,SPXW230818C04975000,2023-07-07 1:01PM EDT,4975.0,0.25,0.15,0.2,0.0,-,35,58,13.44%,0.15476190476190477,4398.950195
452,SPXW230818C05000000,2023-07-09 8:32PM EDT,5000.0,0.15,0.1,0.2,0.0,-,2,334,13.94%,0.15476190476190477,4398.950195
453,SPX230818C05025000,2023-06-22 2:36PM EDT,5025.0,0.25,0.1,0.15,0.0,-,-,2,14.04%,0.15476190476190477,4398.950195
454,SPX230818C05050000,2023-06-26 12:08PM EDT,5050.0,0.11,0.1,0.15,0.0,-,1,223,14.50%,0.15476190476190477,4398.950195
455,SPX230818C05100000,2023-06-21 11:09AM EDT,5100.0,0.2,0.05,0.15,0.0,-,3,726,15.45%,0.15476190476190477,4398.950195
456,SPX230818C05150000,2023-06-16 3:50PM EDT,5150.0,0.27,0.05,0.1,0.0,-,13,615,15.80%,0.15476190476190477,4398.950195
457,SPXW230818C05200000,2023-06-26 1:21PM EDT,5200.0,0.05,0.05,0.1,0.0,-,40,145,16.68%,0.15476190476190477,4398.950195
458,SPX230818C05250000,2023-06-20 1:56PM EDT,5250.0,0.15,0.0,0.1,0.0,-,-,1,17.55%,0.15476190476190477,4398.950195
459,SPX230818C05300000,2023-06-23 1:03PM EDT,5300.0,0.1,0.0,0.1,0.0,-,1,1347,18.41%,0.15476190476190477,4398.950195
460,SPXW230818C05400000,2023-07-05 11:14AM EDT,5400.0,0.05,0.0,0.1,0.0,-,1,58,20.09%,0.15476190476190477,4398.950195
461,SPX230818C05500000,2023-06-26 9:30AM EDT,5500.0,0.1,0.0,0.05,0.0,-,3,2225,20.56%,0.15476190476190477,4398.950195
462,SPXW230818C05600000,2023-05-10 11:50AM EDT,5600.0,0.05,0.0,0.1,0.0,-,-,20,23.34%,0.15476190476190477,4398.950195
463,SPX230818C05700000,2023-06-28 9:30AM EDT,5700.0,0.05,0.0,0.05,0.0,-,1,11,23.58%,0.15476190476190477,4398.950195
464,SPX230818C05800000,2023-06-20 9:41AM EDT,5800.0,0.07,0.0,0.05,0.0,-,2,119,25.05%,0.15476190476190477,4398.950195
465,SPX230818C06000000,2023-06-27 9:30AM EDT,6000.0,0.05,0.0,0.05,0.0,-,20,753,27.83%,0.15476190476190477,4398.950195
466,SPX230818C06200000,2023-04-28 3:55PM EDT,6200.0,0.05,0.0,0.1,0.0,-,10,539,32.18%,0.15476190476190477,4398.950195
467,SPX230818C06400000,2023-05-19 3:46PM EDT,6400.0,0.03,0.0,0.05,0.0,-,6,0,33.15%,0.15476190476190477,4398.950195
468,SPXW230818C06600000,2023-06-27 12:52PM EDT,6600.0,0.05,0.0,0.0,0.0,-,5,10,25.00%,0.15476190476190477,4398.950195
649,SPX230915C04400000,2023-07-10 1:31PM EDT,4400.0,121.6,121.1,121.9,1.27,+1.06%,455,55534,15.69%,0.26587301587301587,4398.950195
650,SPX230915C04405000,2023-07-07 3:21PM EDT,4405.0,128.2,117.1,118.0,0.0,-,8,7738,15.50%,0.26587301587301587,4398.950195
651,SPXW230915C04410000,2023-07-07 3:54PM EDT,4410.0,113.4,114.9,115.2,-0.4,-0.35%,7,249,15.45%,0.26587301587301587,4398.950195
652,SPXW230915C04415000,2023-07-10 12:20PM EDT,4415.0,105.5,111.6,112.0,-19.4,-15.53%,6,165,15.35%,0.26587301587301587,4398.950195
653,SPXW230915C04420000,2023-07-10 1:20PM EDT,4420.0,108.2,108.5,108.7,-12.6,-10.43%,50,237,15.22%,0.26587301587301587,4398.950195
